PHR_SK,PHR_ID,PHR_NM,PHR_CHAIN_NM,ADDRESS,CITY,STATE_CD,ZIP_CD,PHR_TYPE,NPI,NCPDP_ID,PHONE,IS_SPECIALTY,IS_MAIL_ORDER,ACTV_FLG
4021,PHR004021,Kroger #9716,Kroger,480 Main St,Peoria,MI,66410,RETAIL,1958076247,7557976,(590) 309-7400,N,N,Y
4022,PHR004022,Walgreens #6431,Walgreens,3185 Maple St,Joliet,KY,68397,RETAIL,1427110579,2564332,(375) 206-3910,N,N,Y
4023,PHR004023,CVS #8105,CVS,539 Oak St,Naperville,TN,67322,RETAIL,1350224182,5883940,(875) 636-2146,N,N,Y
4024,PHR004024,Safeway #6139,Safeway,8595 Main St,Joliet,IL,67731,RETAIL,1218910413,3166570,(749) 528-8835,N,N,Y
4025,PHR004025,Walgreens #3482,Walgreens,2228 Oak Ave,Waukegan,MN,68778,RETAIL,1717499666,6206200,(801) 307-9232,N,N,Y
4026,PHR004026,Safeway #3404,Safeway,221 Oak Ave,Naperville,OH,67541,RETAIL,1365042564,9822408,(536) 682-9043,N,N,Y
4027,PHR004027,Safeway #9539,Safeway,740 Main Ave,Champaign,IA,66681,RETAIL,1864126144,5990361,(600) 727-3869,N,N,Y
4028,PHR004028,Publix #3042,Publix,7179 Maple Ave,Peoria,MO,62565,RETAIL,1146884366,5021419,(361) 380-9810,N,N,Y
4029,PHR004029,Kroger #3659,Kroger,8185 Maple Rd,Naperville,IN,67041,RETAIL,1212984008,9462341,(984) 898-6341,N,N,Y
4030,PHR004030,Publix #2800,Publix,4241 Oak Rd,Chicago,IA,68572,RETAIL,1785977815,8749462,(590) 451-7542,N,N,Y
4031,PHR004031,Walmart #718,Walmart,275 Elm St,Peoria,MN,66359,RETAIL,1598479857,9132910,(672) 169-2352,N,N,Y
4032,PHR004032,Walmart #2397,Walmart,7813 Elm St,Peoria,IA,61295,RETAIL,1290306358,5934928,(327) 647-7403,N,N,Y
4033,PHR004033,Rite Aid #283,Rite Aid,4576 Oak Ave,Joliet,IN,63915,RETAIL,1136984869,9930492,(421) 552-1782,N,N,Y
4034,PHR004034,Walgreens #5151,Walgreens,7374 Main Rd,Chicago,MN,61797,MAIL_ORDER,1923682643,4384602,(455) 483-4908,N,N,Y
4035,PHR004035,Walmart #362,Walmart,7008 Main St,Joliet,IN,64148,RETAIL,1167829864,4700514,(298) 916-3750,N,N,Y
4036,PHR004036,Rite Aid #6910,Rite Aid,8496 Main Ave,Joliet,IL,64105,RETAIL,1681648793,7628072,(638) 223-4807,N,N,Y
4037,PHR004037,Walmart #5942,Walmart,5398 Oak St,Waukegan,IN,66181,RETAIL,1328457837,8696982,(425) 167-5562,N,N,Y
4038,PHR004038,Meijer #1203,Meijer,3680 Maple Ave,Decatur,IL,69185,HOSPITAL,1209321507,9995633,(782) 275-5127,N,N,Y
4039,PHR004039,Walgreens #5414,Walgreens,6466 Oak Ave,Peoria,TN,66209,HOSPITAL,1815509975,9088805,(269) 443-1289,N,N,Y
4040,PHR004040,Safeway #8472,Safeway,3908 Main St,Chicago,MN,63032,RETAIL,1892328358,8189001,(975) 349-2300,N,N,Y
4041,PHR004041,CVS #6236,CVS,8271 Elm St,Peoria,WI,67156,RETAIL,1140702031,4994050,(942) 712-8270,N,N,Y
4042,PHR004042,Meijer #4656,Meijer,5302 Main Rd,Waukegan,WI,65726,MAIL_ORDER,1345897637,6557792,(550) 348-4372,N,N,Y
4043,PHR004043,CVS #3744,CVS,6350 Elm St,Champaign,MO,61099,RETAIL,1627896893,2174152,(397) 153-3318,N,N,Y
4044,PHR004044,Walmart #1603,Walmart,2945 Oak St,Bloomington,WI,62280,RETAIL,1601517159,6225481,(368) 838-4236,N,N,Y
4045,PHR004045,Walmart #2990,Walmart,4179 Elm Ave,Decatur,MN,68344,HOSPITAL,1316252684,5561067,(692) 181-6891,N,N,Y
4046,PHR004046,Publix #2848,Publix,7812 Maple Ave,Bloomington,MN,68101,MAIL_ORDER,1980042882,9086630,(220) 880-7249,N,N,Y
4047,PHR004047,Publix #5018,Publix,9851 Oak Rd,Peoria,IN,65215,RETAIL,1428401021,8610197,(490) 484-8878,N,N,Y
4048,PHR004048,Walgreens #2338,Walgreens,7788 Oak St,Rockford,MI,61068,RETAIL,1637622321,7279004,(703) 514-7812,N,N,Y
4049,PHR004049,Publix #6392,Publix,8120 Elm Rd,Decatur,MI,62167,RETAIL,1141690057,3088386,(594) 679-3660,N,N,Y
4050,PHR004050,Walmart #4282,Walmart,5811 Maple Rd,Joliet,MN,61945,RETAIL,1555309840,5140479,(448) 589-1565,N,N,Y
4051,PHR004051,Meijer #2522,Meijer,4381 Maple Rd,Peoria,IL,65166,RETAIL,1720989768,3708302,(212) 219-2512,N,N,Y
4052,PHR004052,Publix #9703,Publix,1416 Oak Ave,Peoria,MN,67993,RETAIL,1424505786,9399459,(745) 774-7271,N,N,Y
4053,PHR004053,Kroger #1556,Kroger,1890 Elm St,Springfield,MN,64432,SPECIALTY,1527317270,6169066,(206) 272-9056,N,N,Y
4054,PHR004054,CVS #1244,CVS,6945 Maple Rd,Springfield,IN,68060,RETAIL,1502278868,4127273,(920) 237-4244,N,N,Y
4055,PHR004055,Safeway #8334,Safeway,1906 Maple Rd,Rockford,WI,64041,RETAIL,1905215891,4065690,(977) 296-5249,N,N,Y
4056,PHR004056,Publix #1889,Publix,2821 Main Ave,Naperville,IA,67188,RETAIL,1169001266,6740356,(230) 699-4846,N,N,Y
4057,PHR004057,Safeway #1751,Safeway,255 Main Ave,Chicago,IA,61685,RETAIL,1660852445,1121835,(584) 717-9520,N,N,Y
4058,PHR004058,Kroger #7853,Kroger,5621 Maple Ave,Joliet,IA,66620,HOSPITAL,1977082994,5019771,(569) 781-7528,N,N,Y
4059,PHR004059,Publix #1037,Publix,5933 Elm St,Chicago,TN,68486,SPECIALTY,1531438437,3329735,(226) 716-3013,N,N,Y
4060,PHR004060,Kroger #6136,Kroger,7504 Maple Rd,Waukegan,MO,64079,RETAIL,1785125940,6405343,(217) 748-6901,N,N,Y
4061,PHR004061,CVS #7379,CVS,3926 Maple Ave,Decatur,MI,62333,RETAIL,1611232011,2685367,(951) 494-5814,N,N,Y
4062,PHR004062,Walmart #8620,Walmart,9469 Main St,Champaign,WI,62426,RETAIL,1822694988,8831655,(372) 556-2895,N,N,Y
4063,PHR004063,Safeway #4046,Safeway,4087 Oak St,Naperville,KY,62728,RETAIL,1868546986,1490260,(364) 434-7283,N,N,Y
4064,PHR004064,Kroger #4320,Kroger,7903 Main Rd,Peoria,MO,69757,RETAIL,1628236720,2517360,(908) 440-4666,N,N,Y
4065,PHR004065,Walgreens #6276,Walgreens,6352 Maple St,Rockford,MI,65244,RETAIL,1194146051,2868688,(291) 448-4082,N,N,Y
4066,PHR004066,Walgreens #6125,Walgreens,2187 Elm Ave,Decatur,TN,61027,RETAIL,1733571870,9985927,(394) 967-7359,N,N,Y
4067,PHR004067,Publix #6080,Publix,2169 Oak St,Waukegan,MI,61150,RETAIL,1594568456,6300362,(348) 935-5863,N,N,Y
4068,PHR004068,Walmart #7567,Walmart,2515 Elm St,Chicago,IA,66245,RETAIL,1839378623,3071382,(480) 968-8836,N,N,Y
4069,PHR004069,Walmart #4875,Walmart,6271 Main Ave,Peoria,IA,64450,MAIL_ORDER,1970180403,4776077,(917) 853-1861,N,N,Y
4070,PHR004070,Rite Aid #6519,Rite Aid,5000 Oak St,Bloomington,IA,67427,RETAIL,1827888175,8942696,(556) 875-7412,N,N,Y
4071,PHR004071,Publix #8748,Publix,4737 Elm Rd,Rockford,IN,69978,RETAIL,1240553542,6426063,(970) 910-1886,N,N,Y
4072,PHR004072,Kroger #2781,Kroger,9556 Oak Ave,Champaign,IA,65769,SPECIALTY,1325234901,4659722,(966) 300-1149,N,N,Y
4073,PHR004073,Meijer #1770,Meijer,2518 Maple Ave,Peoria,TN,61922,RETAIL,1608820219,4013739,(253) 220-9444,N,N,Y
4074,PHR004074,Meijer #7207,Meijer,2534 Maple St,Chicago,TN,62946,RETAIL,1624658062,6078288,(904) 710-3826,N,N,Y
4075,PHR004075,Publix #7696,Publix,6360 Elm Rd,Champaign,IN,67018,RETAIL,1225227973,2386418,(324) 600-9351,N,N,Y
4076,PHR004076,Walmart #9714,Walmart,9487 Maple Ave,Naperville,IL,63967,RETAIL,1792130377,8275548,(505) 685-3051,N,N,Y
4077,PHR004077,Walgreens #1140,Walgreens,8906 Oak Ave,Chicago,MI,67451,RETAIL,1675973140,9893395,(700) 165-9501,N,N,Y
4078,PHR004078,Walgreens #2022,Walgreens,3060 Oak St,Bloomington,MO,68327,MAIL_ORDER,1232118892,1656713,(331) 688-4378,N,N,Y
4079,PHR004079,Rite Aid #9315,Rite Aid,4306 Main St,Naperville,IN,69292,RETAIL,1684574207,3879023,(633) 773-1001,N,N,Y
4080,PHR004080,Walmart #856,Walmart,8610 Elm Rd,Bloomington,OH,68289,RETAIL,1626608970,6250195,(735) 460-9818,N,N,Y
4081,PHR004081,Walmart #832,Walmart,3984 Main St,Peoria,IN,65910,SPECIALTY,1331083132,3251636,(816) 665-4539,N,N,Y
4082,PHR004082,Meijer #2205,Meijer,7014 Main Rd,Springfield,OH,65270,RETAIL,1275362844,7711882,(667) 185-5164,N,N,Y
4083,PHR004083,Publix #8880,Publix,3438 Main Rd,Springfield,WI,64156,RETAIL,1705206157,9580328,(819) 267-7876,N,N,Y
4084,PHR004084,Rite Aid #7204,Rite Aid,6308 Main Rd,Rockford,MI,62270,RETAIL,1670661751,2845328,(900) 661-7664,N,N,Y
4085,PHR004085,Walgreens #1557,Walgreens,6044 Elm Ave,Peoria,MI,64698,RETAIL,1205169636,7327627,(427) 487-2720,N,N,Y
4086,PHR004086,Walgreens #8725,Walgreens,5122 Maple St,Bloomington,WI,66716,RETAIL,1402791679,5547530,(822) 201-1785,N,N,Y
4087,PHR004087,Rite Aid #6482,Rite Aid,3060 Elm Rd,Bloomington,MI,67597,RETAIL,1236979608,5346322,(209) 803-9414,N,N,Y
4088,PHR004088,Rite Aid #2437,Rite Aid,6306 Elm St,Joliet,WI,65081,RETAIL,1549085802,8680384,(387) 549-6799,N,N,Y
4089,PHR004089,Safeway #4799,Safeway,4619 Maple Rd,Rockford,KY,66000,RETAIL,1193353560,6128149,(616) 889-6123,N,N,Y
4090,PHR004090,Walgreens #1356,Walgreens,4032 Main St,Decatur,IN,61940,RETAIL,1406930025,9268659,(210) 534-9334,N,N,Y
4091,PHR004091,Rite Aid #8256,Rite Aid,8537 Main Ave,Chicago,IA,64115,SPECIALTY,1900922563,1122310,(931) 535-9754,N,N,Y
4092,PHR004092,Meijer #8752,Meijer,793 Maple St,Bloomington,MO,64687,RETAIL,1494117936,3236718,(726) 461-1834,N,N,Y
4093,PHR004093,Publix #6311,Publix,2893 Elm St,Joliet,IA,65092,MAIL_ORDER,1922930671,2977453,(497) 406-8915,N,N,Y
4094,PHR004094,Kroger #3590,Kroger,136 Maple St,Springfield,OH,69446,MAIL_ORDER,1138041733,8768806,(832) 968-8999,N,N,Y
4095,PHR004095,CVS #196,CVS,7642 Elm Ave,Joliet,MI,62755,RETAIL,1875707160,4123208,(611) 463-1145,N,N,Y
4096,PHR004096,Walgreens #8161,Walgreens,3336 Main Rd,Bloomington,MN,63518,RETAIL,1623354821,1115938,(359) 887-5098,N,N,Y
4097,PHR004097,Walmart #6577,Walmart,6232 Elm Ave,Waukegan,IA,63984,RETAIL,1389353749,2823599,(649) 772-8198,N,N,Y
4098,PHR004098,Rite Aid #5895,Rite Aid,7210 Main Ave,Rockford,WI,62813,RETAIL,1143224883,3242783,(604) 531-6426,N,N,Y
4099,PHR004099,CVS #3360,CVS,7952 Elm St,Waukegan,WI,69012,RETAIL,1958800276,3137987,(532) 869-7551,N,N,Y
4100,PHR004100,Publix #1897,Publix,1867 Main St,Peoria,WI,66638,RETAIL,1923973312,4967894,(253) 794-6605,N,N,Y
4101,PHR004101,Publix #231,Publix,7216 Maple Ave,Springfield,TN,68961,RETAIL,1560583638,5156509,(832) 256-9376,N,N,Y
4102,PHR004102,Rite Aid #4706,Rite Aid,1984 Elm Rd,Rockford,MO,68031,RETAIL,1858556609,2729141,(917) 847-9230,N,N,Y
4103,PHR004103,Rite Aid #9786,Rite Aid,2536 Oak St,Peoria,MO,67574,RETAIL,1306348901,3452982,(636) 118-4270,N,N,Y
4104,PHR004104,Walgreens #6331,Walgreens,6773 Elm Rd,Rockford,IL,64633,RETAIL,1614531970,2029277,(722) 537-1846,N,N,Y
4105,PHR004105,Kroger #4511,Kroger,6056 Elm Ave,Waukegan,IN,65046,RETAIL,1151063294,4049286,(241) 100-1854,N,N,Y
4106,PHR004106,Meijer #4774,Meijer,7834 Elm Rd,Naperville,MO,68059,RETAIL,1627514698,7099881,(542) 411-2827,N,N,Y
4107,PHR004107,Walgreens #9140,Walgreens,2234 Elm Ave,Joliet,IL,69664,RETAIL,1355821370,5629621,(415) 698-7292,N,N,Y
4108,PHR004108,Walgreens #2237,Walgreens,9960 Main St,Decatur,IN,64120,RETAIL,1578641679,2654861,(276) 659-6618,N,N,Y
4109,PHR004109,Kroger #3409,Kroger,8841 Oak St,Peoria,IA,64140,RETAIL,1864078040,5236674,(977) 973-6690,N,N,Y
4110,PHR004110,Meijer #2023,Meijer,7245 Main Ave,Waukegan,IA,69581,SPECIALTY,1641025679,1366999,(370) 713-5491,N,N,Y
4111,PHR004111,Rite Aid #844,Rite Aid,9376 Main Rd,Rockford,OH,67512,RETAIL,1671735145,9614893,(276) 269-8172,N,N,Y
4112,PHR004112,Publix #6493,Publix,6667 Elm St,Peoria,KY,61058,RETAIL,1333869257,1148668,(725) 566-9254,N,N,Y
4113,PHR004113,Kroger #3709,Kroger,4955 Elm Rd,Naperville,OH,63803,RETAIL,1672911909,4996614,(498) 140-3427,N,N,Y
4114,PHR004114,Kroger #4530,Kroger,944 Oak St,Bloomington,WI,62903,RETAIL,1473084374,7192640,(532) 185-9999,N,N,Y
4115,PHR004115,Kroger #6790,Kroger,4931 Elm St,Chicago,WI,66824,RETAIL,1400314642,3965125,(462) 116-9804,N,N,Y
4116,PHR004116,Walgreens #4316,Walgreens,9125 Oak Ave,Rockford,MN,66312,RETAIL,1724556746,7634775,(359) 556-4796,N,N,Y
4117,PHR004117,Publix #2530,Publix,7948 Main Ave,Peoria,MI,68526,RETAIL,1289097266,4168543,(783) 602-3955,N,N,Y
4118,PHR004118,Kroger #5181,Kroger,2769 Oak Ave,Decatur,IL,64077,RETAIL,1177361692,8153721,(451) 565-7594,N,N,Y
4119,PHR004119,Walgreens #2349,Walgreens,293 Main Ave,Waukegan,KY,61339,RETAIL,1114551414,1733836,(335) 354-2369,N,N,Y
4120,PHR004120,Kroger #9924,Kroger,321 Main St,Bloomington,WI,66544,SPECIALTY,1191230681,4394393,(342) 591-8279,N,N,Y
4121,PHR004121,Rite Aid #5535,Rite Aid,7946 Oak St,Chicago,OH,69905,RETAIL,1773757807,3064864,(221) 944-1729,N,N,Y
4122,PHR004122,Walgreens #4961,Walgreens,1780 Maple St,Chicago,KY,64675,RETAIL,1558633176,7465654,(350) 461-5699,N,N,Y
4123,PHR004123,Walmart #1941,Walmart,8157 Oak St,Rockford,MN,62666,HOSPITAL,1402595772,6994631,(278) 730-6467,N,N,Y
4124,PHR004124,Walgreens #1489,Walgreens,810 Oak St,Waukegan,MI,69691,RETAIL,1294739706,8134419,(353) 783-5940,N,N,Y
4125,PHR004125,Kroger #1802,Kroger,4541 Maple Rd,Joliet,MI,65348,MAIL_ORDER,1863759729,2281267,(202) 982-3435,N,N,Y
4126,PHR004126,Rite Aid #2521,Rite Aid,6499 Maple Rd,Champaign,MI,62102,RETAIL,1558974328,5672054,(348) 192-6292,N,N,Y
4127,PHR004127,Rite Aid #6408,Rite Aid,5877 Elm Ave,Waukegan,WI,68885,RETAIL,1544469356,6594616,(341) 921-5028,N,N,Y
4128,PHR004128,Publix #9100,Publix,8244 Maple Rd,Bloomington,MN,64770,RETAIL,1723805279,8077313,(739) 691-4593,N,N,Y
4129,PHR004129,Walgreens #6026,Walgreens,146 Oak St,Joliet,MO,68764,HOSPITAL,1218279447,1999542,(557) 469-3283,N,N,Y
4130,PHR004130,Kroger #2461,Kroger,9135 Maple St,Rockford,IA,64679,RETAIL,1247963035,2966890,(912) 820-3344,N,N,Y
4131,PHR004131,Publix #7058,Publix,6189 Main Rd,Naperville,IL,62208,RETAIL,1737722802,3653705,(230) 250-6984,N,N,Y
4132,PHR004132,Rite Aid #4114,Rite Aid,1362 Main Rd,Waukegan,IN,63452,MAIL_ORDER,1604406044,3350695,(966) 640-5907,N,N,Y
4133,PHR004133,Safeway #5626,Safeway,7374 Main Ave,Naperville,MN,63554,RETAIL,1789830038,1538869,(818) 869-3843,N,N,Y
4134,PHR004134,Rite Aid #6594,Rite Aid,7040 Maple Rd,Springfield,IL,69222,RETAIL,1344077465,8108007,(360) 378-2506,N,N,Y
4135,PHR004135,Publix #3571,Publix,6660 Main St,Waukegan,WI,64009,MAIL_ORDER,1700537666,2295356,(909) 579-8821,N,N,Y
4136,PHR004136,Meijer #6333,Meijer,2800 Main Ave,Waukegan,MN,64190,RETAIL,1212098712,2305411,(571) 717-6496,N,N,Y
4137,PHR004137,CVS #4723,CVS,2766 Main St,Rockford,MO,61179,MAIL_ORDER,1431915198,4149818,(764) 306-1530,N,N,Y
4138,PHR004138,Walmart #1493,Walmart,9440 Main Rd,Champaign,OH,61748,RETAIL,1200084477,6177530,(208) 465-5626,N,N,Y
4139,PHR004139,Publix #3292,Publix,5252 Maple Rd,Joliet,KY,63122,RETAIL,1204560805,6558596,(617) 859-9250,N,N,Y
4140,PHR004140,Walgreens #2560,Walgreens,488 Maple Ave,Decatur,KY,61612,RETAIL,1262712486,8769633,(280) 740-2528,N,N,Y
4141,PHR004141,Walmart #2407,Walmart,2738 Elm Ave,Peoria,MO,66554,RETAIL,1769446639,8229326,(240) 829-7350,N,N,Y
4142,PHR004142,Walmart #1328,Walmart,2596 Maple St,Chicago,MO,63336,MAIL_ORDER,1432368523,2462431,(710) 196-8451,N,N,Y
4143,PHR004143,Meijer #4943,Meijer,2745 Main Ave,Decatur,WI,66952,RETAIL,1176379467,4006246,(927) 890-8548,N,N,Y
4144,PHR004144,Kroger #4294,Kroger,7342 Oak St,Decatur,IA,68999,RETAIL,1407761324,7726643,(618) 977-3113,N,N,Y
4145,PHR004145,Safeway #8496,Safeway,5238 Elm St,Waukegan,MI,69289,RETAIL,1832888487,1715977,(835) 759-1934,N,N,Y
4146,PHR004146,Walmart #230,Walmart,2632 Main Ave,Waukegan,KY,63592,RETAIL,1178360259,4742179,(597) 995-8573,N,N,Y
4147,PHR004147,Walgreens #7732,Walgreens,7775 Maple St,Naperville,MI,63953,RETAIL,1526216314,8266453,(404) 511-6385,N,N,Y
4148,PHR004148,Walgreens #5710,Walgreens,8067 Oak Rd,Champaign,MI,62873,RETAIL,1141105345,3612902,(681) 249-4497,N,N,Y
4149,PHR004149,Meijer #613,Meijer,9948 Maple St,Joliet,TN,68046,HOSPITAL,1329158874,1907270,(416) 988-1375,N,N,Y
4150,PHR004150,Publix #4229,Publix,2985 Main St,Naperville,OH,65487,RETAIL,1420336702,8573586,(629) 637-4507,N,N,Y
4151,PHR004151,Kroger #980,Kroger,1614 Maple Ave,Springfield,WI,63695,RETAIL,1550006352,9080330,(686) 648-3632,N,N,Y
4152,PHR004152,Publix #9444,Publix,6475 Main Rd,Decatur,MI,64253,RETAIL,1817219263,3426274,(531) 780-6185,N,N,Y
4153,PHR004153,CVS #7614,CVS,2516 Maple Ave,Naperville,WI,67658,RETAIL,1875548733,1061687,(661) 952-3059,N,N,Y
4154,PHR004154,Safeway #1696,Safeway,697 Oak Rd,Rockford,TN,67884,RETAIL,1931488913,3786712,(815) 486-4541,N,N,Y
4155,PHR004155,Meijer #3231,Meijer,9550 Main Ave,Joliet,MO,61265,RETAIL,1429601610,9423591,(327) 816-9177,N,N,Y
4156,PHR004156,Safeway #6823,Safeway,5862 Elm Rd,Waukegan,MN,69571,HOSPITAL,1460591086,2902200,(380) 569-8018,N,N,Y
4157,PHR004157,Meijer #9156,Meijer,9846 Oak Rd,Waukegan,WI,67251,RETAIL,1808246120,8339925,(849) 390-2625,N,N,Y
4158,PHR004158,Walgreens #1568,Walgreens,369 Maple St,Champaign,IN,69924,RETAIL,1576852350,9445004,(795) 925-1534,N,N,Y
4159,PHR004159,Kroger #3571,Kroger,3751 Maple Rd,Waukegan,MN,62875,RETAIL,1604201501,3087766,(559) 912-8601,N,N,Y
4160,PHR004160,Publix #224,Publix,6238 Oak Rd,Springfield,MN,65384,SPECIALTY,1384003716,6157260,(624) 789-4957,N,N,Y
4161,PHR004161,CVS #635,CVS,354 Main St,Joliet,MN,69502,MAIL_ORDER,1744186766,6326278,(543) 274-8045,N,N,Y
4162,PHR004162,Walmart #6512,Walmart,3256 Maple St,Decatur,KY,68030,RETAIL,1783193458,7550021,(945) 277-7604,N,N,Y
4163,PHR004163,Meijer #2695,Meijer,7266 Oak St,Peoria,KY,69261,RETAIL,1719477895,7576872,(980) 742-5263,N,N,Y
4164,PHR004164,Rite Aid #3438,Rite Aid,1627 Main St,Waukegan,MI,61189,RETAIL,1737038349,3567729,(228) 732-9907,N,N,Y
4165,PHR004165,Walgreens #6365,Walgreens,514 Oak Ave,Joliet,TN,64056,RETAIL,1338107857,5981533,(398) 648-5018,N,N,Y
4166,PHR004166,Publix #947,Publix,4605 Main St,Chicago,OH,62694,RETAIL,1739836790,3058301,(309) 245-5627,N,N,Y
4167,PHR004167,Kroger #1620,Kroger,1367 Maple Ave,Rockford,WI,67402,RETAIL,1954098766,1368376,(623) 175-8971,N,N,Y
4168,PHR004168,Walgreens #6979,Walgreens,6248 Elm Rd,Champaign,MO,63639,RETAIL,1110888052,3997703,(875) 680-1515,N,N,Y
4169,PHR004169,Walgreens #5781,Walgreens,8028 Main St,Bloomington,MI,65169,SPECIALTY,1307066016,1495854,(748) 123-9486,N,N,Y
4170,PHR004170,Rite Aid #6078,Rite Aid,1980 Oak St,Joliet,MO,63270,RETAIL,1881409059,3123664,(474) 380-8890,N,N,Y
4171,PHR004171,Walmart #5810,Walmart,9135 Elm Ave,Champaign,IN,68144,RETAIL,1529434612,4238912,(456) 277-4242,N,N,Y
4172,PHR004172,Kroger #1785,Kroger,9662 Elm St,Rockford,MN,68992,RETAIL,1579058222,8109132,(810) 865-5451,N,N,Y
4173,PHR004173,Meijer #1862,Meijer,6375 Maple St,Decatur,TN,66782,RETAIL,1779354803,2078208,(660) 271-1553,N,N,Y
4174,PHR004174,Kroger #6814,Kroger,4908 Elm Ave,Chicago,TN,62878,RETAIL,1446476261,8203915,(390) 466-5019,N,N,Y
4175,PHR004175,Walgreens #6189,Walgreens,6194 Oak Ave,Naperville,MO,61157,RETAIL,1111704885,6517512,(418) 576-6268,N,N,Y
4176,PHR004176,Walmart #1185,Walmart,6417 Elm Rd,Rockford,KY,69638,RETAIL,1702324820,5664879,(933) 722-2225,N,N,Y
4177,PHR004177,Publix #5306,Publix,5344 Oak St,Chicago,MN,69092,RETAIL,1394651349,8067188,(322) 227-8418,N,N,Y
4178,PHR004178,Rite Aid #5455,Rite Aid,9785 Maple St,Decatur,TN,61348,RETAIL,1791131756,1077963,(672) 391-3147,N,N,Y
4179,PHR004179,Publix #8840,Publix,8742 Main Ave,Chicago,IL,62137,RETAIL,1991044883,7963867,(940) 408-5500,N,N,Y
4180,PHR004180,Meijer #6659,Meijer,1406 Elm Ave,Decatur,MI,61771,RETAIL,1847814942,8626616,(705) 969-2989,N,N,Y
4181,PHR004181,Meijer #1783,Meijer,579 Oak St,Chicago,TN,63273,RETAIL,1446667253,8309538,(431) 274-2442,N,N,Y
4182,PHR004182,Walmart #8907,Walmart,180 Main Ave,Chicago,MI,62815,RETAIL,1426729003,2258998,(470) 437-7218,N,N,Y
4183,PHR004183,Kroger #2357,Kroger,9659 Maple St,Peoria,WI,66231,SPECIALTY,1908564991,7933921,(852) 557-3004,N,N,Y
4184,PHR004184,Walmart #7930,Walmart,8129 Elm Ave,Champaign,TN,64700,RETAIL,1922703112,5969984,(928) 184-6783,N,N,Y
