DRUG_PRICE_SK,PROD_SK,NDC,BASE_PRICE,DRUG_COST_PERCT_1,FEE_1,TAX_AMT,FINAL_COST,AWP_PRICE,WAC_PRICE,PRICE_EFF_FROM_DT,PRICE_EFF_THRU_DT,PRICING_SOURCE
5000031,1011,00093312805,15.0,0.7868,1.96,0.95,14.71,18.0,12.75,2023-01-01,2023-12-31,Negotiated
5000032,1011,00093312805,15.6,0.9159,5.32,0.86,20.47,18.72,13.26,2024-01-01,2024-12-31,MAC
5000033,1011,00093312805,16.2,0.7274,3.3,0.62,15.7,19.44,13.77,2025-01-01,2027-12-31,Negotiated
5000034,1012,00093315305,19.0,0.7664,1.77,0.03,16.36,22.8,16.15,2023-01-01,2023-12-31,MAC
5000035,1012,00093315305,19.76,0.8307,2.71,0.96,20.08,23.71,16.8,2024-01-01,2024-12-31,Negotiated
5000036,1012,00093315305,20.52,0.7434,4.3,0.99,20.54,24.62,17.44,2025-01-01,2027-12-31,Negotiated
5000037,1013,00049493066,14.5,0.8595,1.59,0.31,14.36,17.4,12.32,2023-01-01,2023-12-31,WAC
5000038,1013,00049493066,15.08,0.8138,3.47,0.57,16.31,18.1,12.82,2024-01-01,2024-12-31,MAC
5000039,1013,00049493066,15.66,0.9043,5.34,0.84,20.34,18.79,13.31,2025-01-01,2027-12-31,Negotiated
5000040,1014,00456213003,18.0,0.7462,2.82,0.96,17.21,21.6,15.3,2023-01-01,2023-12-31,Negotiated
5000041,1014,00456213003,18.72,0.8866,4.53,1.03,22.16,22.46,15.91,2024-01-01,2024-12-31,Negotiated
5000042,1014,00456213003,19.44,0.88,5.3,0.91,23.32,23.33,16.52,2025-01-01,2027-12-31,MAC
5000043,1015,00002322230,42.0,0.8581,1.89,1.52,39.45,50.4,35.7,2023-01-01,2023-12-31,WAC
5000044,1015,00002322230,43.68,0.7599,4.23,0.33,37.75,52.42,37.13,2024-01-01,2024-12-31,Negotiated
5000045,1015,00002322230,45.36,0.9086,3.72,0.8,45.73,54.43,38.56,2025-01-01,2027-12-31,AWP
5000046,1016,00006028258,24.0,0.9199,3.11,0.47,25.66,28.8,20.4,2023-01-01,2023-12-31,WAC
5000047,1016,00006028258,24.96,0.7549,5.37,0.94,25.15,29.95,21.22,2024-01-01,2024-12-31,AWP
5000048,1016,00006028258,25.92,0.7875,2.01,0.44,22.86,31.1,22.03,2025-01-01,2027-12-31,WAC
5000049,1017,00149047601,31.0,0.8173,5.97,1.82,33.13,37.2,26.35,2023-01-01,2023-12-31,AWP
5000050,1017,00149047601,32.24,0.874,4.01,2.17,34.36,38.69,27.4,2024-01-01,2024-12-31,AWP
5000051,1017,00149047601,33.48,0.8613,5.67,1.1,35.61,40.18,28.46,2025-01-01,2027-12-31,Negotiated
5000052,1018,00085113101,28.0,0.9125,4.9,2.05,32.5,33.6,23.8,2023-01-01,2023-12-31,AWP
5000053,1018,00085113101,29.12,0.8847,1.69,0.23,27.68,34.94,24.75,2024-01-01,2024-12-31,AWP
5000054,1018,00085113101,30.24,0.8942,5.6,0.36,33.0,36.29,25.7,2025-01-01,2027-12-31,MAC
5000055,1019,00173071120,65.0,0.8616,4.93,2.43,63.36,78.0,55.25,2023-01-01,2023-12-31,AWP
5000056,1019,00173071120,67.6,0.7509,3.14,4.15,58.05,81.12,57.46,2024-01-01,2024-12-31,AWP
5000057,1019,00173071120,70.2,0.8897,3.48,2.19,68.13,84.24,59.67,2025-01-01,2027-12-31,AWP
5000058,1020,00006071754,42.5,0.7691,5.14,1.09,38.92,51.0,36.12,2023-01-01,2023-12-31,WAC
5000059,1020,00006071754,44.2,0.737,3.18,2.5,38.26,53.04,37.57,2024-01-01,2024-12-31,MAC
5000060,1020,00006071754,45.9,0.8459,2.6,2.59,44.02,55.08,39.02,2025-01-01,2027-12-31,Negotiated
5000061,1021,00056016985,9.5,0.8774,2.12,0.31,10.77,11.4,8.07,2023-01-01,2023-12-31,Negotiated
5000062,1021,00056016985,9.88,0.8996,5.78,0.38,15.05,11.86,8.4,2024-01-01,2024-12-31,MAC
5000063,1021,00056016985,10.26,0.9087,3.49,0.59,13.4,12.31,8.72,2025-01-01,2027-12-31,AWP
5000064,1022,59148001401,310.0,0.737,2.92,22.83,254.22,372.0,263.5,2023-01-01,2023-12-31,WAC
5000065,1022,59148001401,322.4,0.8068,3.27,0.9,264.28,386.88,274.04,2024-01-01,2024-12-31,WAC
5000066,1022,59148001401,334.8,0.9005,1.76,15.86,319.11,401.76,284.58,2025-01-01,2027-12-31,MAC
5000067,1023,50458057890,295.0,0.8039,5.49,15.5,258.14,354.0,250.75,2023-01-01,2023-12-31,MAC
5000068,1023,50458057890,306.8,0.8643,2.91,7.92,276.0,368.16,260.78,2024-01-01,2024-12-31,MAC
5000069,1023,50458057890,318.6,0.9,4.25,3.51,294.5,382.32,270.81,2025-01-01,2027-12-31,Negotiated
5000070,1024,00078036315,16.5,0.8092,2.42,0.67,16.44,19.8,14.03,2023-01-01,2023-12-31,Negotiated
5000071,1024,00078036315,17.16,0.8595,5.49,1.01,21.25,20.59,14.59,2024-01-01,2024-12-31,Negotiated
5000072,1024,00078036315,17.82,0.8751,5.46,0.11,21.16,21.38,15.15,2025-01-01,2027-12-31,MAC
5000073,1025,00280025150,4.0,0.798,4.73,0.26,8.18,4.8,3.4,2023-01-01,2023-12-31,MAC
5000074,1025,00280025150,4.16,0.7627,3.8,0.1,7.07,4.99,3.54,2024-01-01,2024-12-31,MAC
5000075,1025,00280025150,4.32,0.8714,2.22,0.01,5.99,5.18,3.67,2025-01-01,2027-12-31,MAC
5000076,1026,00781534105,19.5,0.7683,4.98,1.06,21.02,23.4,16.57,2023-01-01,2023-12-31,AWP
5000077,1026,00781534105,20.28,0.8664,5.29,0.4,23.26,24.34,17.24,2024-01-01,2024-12-31,MAC
5000078,1026,00781534105,21.06,0.7448,4.9,1.49,22.08,25.27,17.9,2025-01-01,2027-12-31,Negotiated
5000079,1027,00071010568,98.0,0.7796,4.82,3.33,84.55,117.6,83.3,2023-01-01,2023-12-31,WAC
5000080,1027,00071010568,101.92,0.8811,5.95,4.32,100.07,122.3,86.63,2024-01-01,2024-12-31,WAC
5000081,1027,00071010568,105.84,0.7901,2.78,6.23,92.63,127.01,89.96,2025-01-01,2027-12-31,WAC
5000082,1028,00025153531,65.0,0.8629,3.84,1.21,61.14,78.0,55.25,2023-01-01,2023-12-31,MAC
5000083,1028,00025153531,67.6,0.8233,2.37,3.95,61.98,81.12,57.46,2024-01-01,2024-12-31,Negotiated
5000084,1028,00025153531,70.2,0.7396,4.7,4.36,60.98,84.24,59.67,2025-01-01,2027-12-31,AWP
5000085,1029,00093278001,12.0,0.7384,3.41,0.12,12.39,14.4,10.2,2023-01-01,2023-12-31,WAC
5000086,1029,00093278001,12.48,0.8092,3.16,0.49,13.75,14.98,10.61,2024-01-01,2024-12-31,Negotiated
5000087,1029,00093278001,12.96,0.8944,4.13,0.62,16.34,15.55,11.02,2025-01-01,2027-12-31,Negotiated
5000088,1030,00093084101,7.5,0.8578,5.77,0.41,12.61,9.0,6.38,2023-01-01,2023-12-31,Negotiated
5000089,1030,00093084101,7.8,0.8848,2.15,0.07,9.12,9.36,6.63,2024-01-01,2024-12-31,Negotiated
5000090,1030,00093084101,8.1,0.7459,4.67,0.52,11.23,9.72,6.88,2025-01-01,2027-12-31,AWP
5000091,1031,00116288001,8.0,0.8589,3.55,0.02,10.44,9.6,6.8,2023-01-01,2023-12-31,WAC
5000092,1031,00116288001,8.32,0.9088,3.16,0.59,11.31,9.98,7.07,2024-01-01,2024-12-31,Negotiated
5000093,1031,00116288001,8.64,0.7421,3.16,0.19,9.76,10.37,7.34,2025-01-01,2027-12-31,WAC
5000094,1032,00025102831,11.5,0.7435,2.87,0.32,11.74,13.8,9.78,2023-01-01,2023-12-31,MAC
5000095,1032,00025102831,11.96,0.8172,5.06,0.13,14.96,14.35,10.17,2024-01-01,2024-12-31,Negotiated
5000096,1032,00025102831,12.42,0.7297,5.52,0.83,15.41,14.9,10.56,2025-01-01,2027-12-31,WAC
5000097,1033,00007479120,18.0,0.7566,4.83,0.0,18.45,21.6,15.3,2023-01-01,2023-12-31,MAC
5000098,1033,00007479120,18.72,0.7335,1.7,0.68,16.11,22.46,15.91,2024-01-01,2024-12-31,MAC
5000099,1033,00007479120,19.44,0.8332,5.55,1.14,22.89,23.33,16.52,2025-01-01,2027-12-31,Negotiated
5000100,1034,00078065715,485.0,0.8869,5.25,4.83,440.23,582.0,412.25,2023-01-01,2023-12-31,WAC
5000101,1034,00078065715,504.4,0.821,3.57,17.02,434.7,605.28,428.74,2024-01-01,2024-12-31,Negotiated
5000102,1034,00078065715,523.8,0.7498,4.78,3.51,401.04,628.56,445.23,2025-01-01,2027-12-31,Negotiated
5000103,1035,00781261801,14.0,0.7974,5.55,0.36,17.07,16.8,11.9,2023-01-01,2023-12-31,AWP
5000104,1035,00781261801,14.56,0.9116,5.51,0.8,19.58,17.47,12.38,2024-01-01,2024-12-31,AWP
5000105,1035,00781261801,15.12,0.8932,4.68,0.65,18.84,18.14,12.85,2025-01-01,2027-12-31,MAC
5000106,1036,00069307120,22.5,0.8322,2.06,0.94,21.72,27.0,19.12,2023-01-01,2023-12-31,WAC
5000107,1036,00069307120,23.4,0.911,3.94,1.33,26.59,28.08,19.89,2024-01-01,2024-12-31,WAC
5000108,1036,00069307120,24.3,0.8701,3.76,0.03,24.93,29.16,20.66,2025-01-01,2027-12-31,WAC
5000109,1037,00641024625,18.0,0.9125,2.74,0.28,19.45,21.6,15.3,2023-01-01,2023-12-31,Negotiated
5000110,1037,00641024625,18.72,0.7369,3.9,0.45,18.14,22.46,15.91,2024-01-01,2024-12-31,AWP
5000111,1037,00641024625,19.44,0.8183,5.7,0.5,22.11,23.33,16.52,2025-01-01,2027-12-31,WAC
5000112,1038,00597001510,132.0,0.803,5.37,3.14,114.51,158.4,112.2,2023-01-01,2023-12-31,MAC
5000113,1038,00597001510,137.28,0.7382,5.91,5.58,112.83,164.74,116.69,2024-01-01,2024-12-31,MAC
5000114,1038,00597001510,142.56,0.7488,2.65,0.96,110.36,171.07,121.18,2025-01-01,2027-12-31,MAC
5000115,1039,50458060010,360.0,0.9104,4.55,1.59,333.88,432.0,306.0,2023-01-01,2023-12-31,MAC
5000116,1039,50458060010,374.4,0.7563,4.71,8.37,296.24,449.28,318.24,2024-01-01,2024-12-31,AWP
5000117,1039,50458060010,388.8,0.784,3.36,9.45,317.63,466.56,330.48,2025-01-01,2027-12-31,Negotiated
5000118,1040,00169275030,28.0,0.9083,5.55,0.11,31.09,33.6,23.8,2023-01-01,2023-12-31,WAC
5000119,1040,00169275030,29.12,0.8704,4.14,1.08,30.57,34.94,24.75,2024-01-01,2024-12-31,Negotiated
5000120,1040,00169275030,30.24,0.9099,2.71,0.72,30.95,36.29,25.7,2025-01-01,2027-12-31,Negotiated
5000121,1041,00008443901,24.5,0.7331,1.63,1.16,20.75,29.4,20.82,2023-01-01,2023-12-31,AWP
5000122,1041,00008443901,25.48,0.7738,5.84,1.29,26.85,30.58,21.66,2024-01-01,2024-12-31,WAC
5000123,1041,00008443901,26.46,0.8726,4.43,0.25,27.77,31.75,22.49,2025-01-01,2027-12-31,Negotiated
5000124,1042,00173017400,32.0,0.8092,5.31,1.2,32.4,38.4,27.2,2023-01-01,2023-12-31,WAC
5000125,1042,00173017400,33.28,0.7947,5.93,1.95,34.33,39.94,28.29,2024-01-01,2024-12-31,Negotiated
5000126,1042,00173017400,34.56,0.9123,4.0,0.11,35.64,41.47,29.38,2025-01-01,2027-12-31,Negotiated
5000127,1043,00310027515,45.0,0.9122,4.29,2.2,47.54,54.0,38.25,2023-01-01,2023-12-31,WAC
5000128,1043,00310027515,46.8,0.7201,5.7,1.69,41.09,56.16,39.78,2024-01-01,2024-12-31,MAC
5000129,1043,00310027515,48.6,0.8879,3.21,1.28,47.64,58.32,41.31,2025-01-01,2027-12-31,WAC
5000130,1044,00074669024,12.0,0.837,3.8,0.04,13.88,14.4,10.2,2023-01-01,2023-12-31,AWP
5000131,1044,00074669024,12.48,0.7801,3.28,0.12,13.14,14.98,10.61,2024-01-01,2024-12-31,WAC
5000132,1044,00074669024,12.96,0.865,5.99,0.85,18.05,15.55,11.02,2025-01-01,2027-12-31,WAC
5000133,1045,00536416301,14.5,0.8421,5.81,0.35,18.37,17.4,12.32,2023-01-01,2023-12-31,MAC
5000134,1045,00536416301,15.08,0.847,5.91,0.8,19.48,18.1,12.82,2024-01-01,2024-12-31,MAC
5000135,1045,00536416301,15.66,0.7692,5.92,0.4,18.37,18.79,13.31,2025-01-01,2027-12-31,Negotiated
5000136,1046,00088110947,24.0,0.9118,2.98,1.65,26.51,28.8,20.4,2023-01-01,2023-12-31,WAC
5000137,1046,00088110947,24.96,0.8493,1.51,0.89,23.6,29.95,21.22,2024-01-01,2024-12-31,AWP
5000138,1046,00088110947,25.92,0.8545,3.36,1.74,27.25,31.1,22.03,2025-01-01,2027-12-31,Negotiated
5000139,1047,00006046254,32.0,0.8725,3.92,1.89,33.73,38.4,27.2,2023-01-01,2023-12-31,AWP
5000140,1047,00006046254,33.28,0.8277,5.52,2.04,35.11,39.94,28.29,2024-01-01,2024-12-31,Negotiated
5000141,1047,00006046254,34.56,0.8544,3.09,2.11,34.73,41.47,29.38,2025-01-01,2027-12-31,MAC
5000142,1048,00378016301,14.0,0.7974,5.28,0.85,17.29,16.8,11.9,2023-01-01,2023-12-31,AWP
5000143,1048,00378016301,14.56,0.745,3.17,0.21,14.23,17.47,12.38,2024-01-01,2024-12-31,AWP
5000144,1048,00378016301,15.12,0.7643,1.59,0.32,13.47,18.14,12.85,2025-01-01,2027-12-31,MAC
5000145,1049,64764010030,48.0,0.7583,5.17,2.25,43.82,57.6,40.8,2023-01-01,2023-12-31,WAC
5000146,1049,64764010030,49.92,0.7669,3.72,1.36,43.36,59.9,42.43,2024-01-01,2024-12-31,MAC
5000147,1049,64764010030,51.84,0.8186,4.67,2.36,49.47,62.21,44.06,2025-01-01,2027-12-31,AWP
5000148,1050,00597000710,185.0,0.7592,5.2,5.5,151.15,222.0,157.25,2023-01-01,2023-12-31,MAC
5000149,1050,00597000710,192.4,0.8338,3.72,7.96,172.1,230.88,163.54,2024-01-01,2024-12-31,WAC
5000150,1050,00597000710,199.8,0.7331,2.08,0.97,149.52,239.76,169.83,2025-01-01,2027-12-31,MAC
5000151,1037,00641024625,18.0,0.8911,5.46,0.98,22.48,21.6,15.3,2025-03-01,2025-03-28,WAC
5000152,1044,00074669024,12.0,0.7246,5.86,0.61,15.17,14.4,10.2,2025-05-01,2025-05-28,MAC
5000153,1044,00074669024,12.0,0.832,3.54,0.84,14.36,14.4,10.2,2025-06-01,2025-06-28,AWP
5000154,1021,00056016985,9.5,0.8065,5.98,0.2,13.84,11.4,8.07,2025-06-01,2025-06-28,Negotiated
5000155,1032,00025102831,11.5,0.7923,4.92,0.76,14.79,13.8,9.78,2025-02-01,2025-02-28,AWP
5000156,1018,00085113101,28.0,0.9037,3.9,0.66,29.86,33.6,23.8,2025-04-01,2025-04-28,WAC
5000157,1022,59148001401,310.0,0.7364,4.07,0.59,232.94,372.0,263.5,2025-06-01,2025-06-28,WAC
5000158,1045,00536416301,14.5,0.8048,1.83,0.27,13.77,17.4,12.32,2025-02-01,2025-02-28,MAC
5000159,1020,00006071754,42.5,0.7326,4.31,0.09,35.54,51.0,36.12,2025-04-01,2025-04-28,AWP
5000160,1038,00597001510,132.0,0.8794,5.71,8.32,130.11,158.4,112.2,2025-02-01,2025-02-28,AWP
5000161,1031,00116288001,8.0,0.7677,3.03,0.03,9.2,9.6,6.8,2025-03-01,2025-03-28,WAC
5000162,1005,00310075030,28.5,0.8751,4.29,1.63,30.86,34.2,24.22,2025-06-01,2025-06-28,Negotiated
5000163,1038,00597001510,132.0,0.745,5.89,9.08,113.31,158.4,112.2,2025-04-01,2025-04-28,MAC
5000164,1045,00536416301,14.5,0.733,2.07,1.0,13.7,17.4,12.32,2025-04-01,2025-04-28,AWP
5000165,1020,00006071754,42.5,0.8421,3.44,0.32,39.55,51.0,36.12,2025-01-01,2025-01-28,AWP
5000166,1019,00173071120,65.0,0.89,3.31,3.01,64.17,78.0,55.25,2025-04-01,2025-04-28,WAC
5000167,1039,50458060010,360.0,0.8775,4.31,12.24,332.45,432.0,306.0,2025-04-01,2025-04-28,Negotiated
5000168,1040,00169275030,28.0,0.8438,3.03,1.97,28.63,33.6,23.8,2025-01-01,2025-01-28,Negotiated
5000169,1034,00078065715,485.0,0.7856,2.37,3.74,387.13,582.0,412.25,2025-05-01,2025-05-28,AWP
5000170,1038,00597001510,132.0,0.8779,2.37,5.67,123.92,158.4,112.2,2025-06-01,2025-06-28,MAC
5000171,1023,50458057890,295.0,0.8042,4.76,9.84,251.84,354.0,250.75,2025-02-01,2025-02-28,WAC
5000172,1003,00378526001,14.0,0.7321,2.9,0.46,13.61,16.8,11.9,2025-06-01,2025-06-28,MAC
5000173,1020,00006071754,42.5,0.8367,3.94,0.46,39.96,51.0,36.12,2025-04-01,2025-04-28,MAC
5000174,1039,50458060010,360.0,0.7886,3.16,0.22,287.28,432.0,306.0,2025-05-01,2025-05-28,WAC
5000175,1004,00071015820,22.0,0.7675,5.19,0.92,23.0,26.4,18.7,2025-01-01,2025-01-28,Negotiated
5000176,1023,50458057890,295.0,0.7591,2.4,20.1,246.43,354.0,250.75,2025-01-01,2025-01-28,MAC
5000177,1013,00049493066,14.5,0.8536,4.63,1.07,18.08,17.4,12.32,2025-05-01,2025-05-28,MAC
5000178,1038,00597001510,132.0,0.8332,3.01,2.97,115.96,158.4,112.2,2025-03-01,2025-03-28,WAC
5000179,1007,00049262066,11.0,0.8109,5.05,0.03,14.0,13.2,9.35,2025-02-01,2025-02-28,AWP
5000180,1041,00008443901,24.5,0.7646,2.54,1.15,22.42,29.4,20.82,2025-02-01,2025-02-28,Negotiated
5000181,1048,00378016301,14.0,0.8737,5.17,0.85,18.25,16.8,11.9,2025-04-01,2025-04-28,WAC
5000182,1026,00781534105,19.5,0.7568,5.95,0.53,21.24,23.4,16.57,2025-01-01,2025-01-28,MAC
5000183,1002,00069153041,18.75,0.8309,2.14,0.62,18.34,22.5,15.94,2025-06-01,2025-06-28,MAC
5000184,1003,00378526001,14.0,0.9151,2.4,0.3,15.51,16.8,11.9,2025-02-01,2025-02-28,MAC
5000185,1047,00006046254,32.0,0.7549,5.31,0.59,30.06,38.4,27.2,2025-02-01,2025-02-28,AWP
5000186,1012,00093315305,19.0,0.8886,5.6,0.03,22.51,22.8,16.15,2025-06-01,2025-06-28,WAC
5000187,1025,00280025150,4.0,0.851,5.48,0.1,8.98,4.8,3.4,2025-02-01,2025-02-28,MAC
5000188,1030,00093084101,7.5,0.768,5.14,0.37,11.27,9.0,6.38,2025-05-01,2025-05-28,Negotiated
5000189,1046,00088110947,24.0,0.7331,2.15,1.66,21.4,28.8,20.4,2025-02-01,2025-02-28,WAC
5000190,1035,00781261801,14.0,0.7956,3.18,0.63,14.95,16.8,11.9,2025-06-01,2025-06-28,WAC
5000191,1003,00378526001,14.0,0.8726,4.14,0.9,17.26,16.8,11.9,2025-03-01,2025-03-28,WAC
5000192,1021,00056016985,9.5,0.7694,4.33,0.2,11.84,11.4,8.07,2025-02-01,2025-02-28,Negotiated
5000193,1014,00456213003,18.0,0.8655,5.03,1.07,21.68,21.6,15.3,2025-05-01,2025-05-28,AWP
5000194,1011,00093312805,15.0,0.8217,4.88,0.73,17.94,18.0,12.75,2025-05-01,2025-05-28,MAC
5000195,1032,00025102831,11.5,0.8238,2.31,0.61,12.39,13.8,9.78,2025-05-01,2025-05-28,Negotiated
5000196,1046,00088110947,24.0,0.9112,3.63,1.05,26.55,28.8,20.4,2025-06-01,2025-06-28,AWP
5000197,1014,00456213003,18.0,0.7639,2.41,1.17,17.33,21.6,15.3,2025-04-01,2025-04-28,WAC
5000198,1020,00006071754,42.5,0.805,3.2,0.5,37.91,51.0,36.12,2025-03-01,2025-03-28,MAC
5000199,1036,00069307120,22.5,0.737,4.88,0.5,21.96,27.0,19.12,2025-05-01,2025-05-28,MAC
5000200,1015,00002322230,42.0,0.8368,3.59,1.96,40.7,50.4,35.7,2025-04-01,2025-04-28,Negotiated
