FRMLRY_ALT_SK,FRMLRY_ID,TRGT_NDC,TRGT_GPI,TRGT_LBL_NM,TRGT_PROD_SK,ALT_PROXY_NDC,ALT_GPI,ALT_LBL_NM,ALT_PROD_SK,ALT_SEQ_NBR,THRPC_GROUP,COST_SAVINGS_FLG,FRMLRY_FROM_DT,FRMLRY_THRU_DT
9000051,FRM0003,00173017400,6010201000,Bupropion 150mg,1042,00456213003,6010001100,Escitalopram 10mg,1014,2,SSRI_SNRI,Y,2022-02-19,2027-10-20
9000052,FRM0003,00173017400,6010201000,Bupropion 150mg,1042,00002322230,6010101000,Duloxetine 30mg,1015,3,SSRI_SNRI,N,2022-04-15,2026-10-18
9000053,FRM0006,00006028258,3302001000,Alendronate 70mg,1016,00149047601,3302001100,Risedronate 35mg,1017,1,Bisphosphonate,N,2021-01-05,2027-11-06
9000054,FRM0008,00149047601,3302001100,Risedronate 35mg,1017,00006028258,3302001000,Alendronate 70mg,1016,1,Bisphosphonate,Y,2022-10-25,2026-08-29
9000055,FRM0010,00085113101,4400001000,Albuterol 90mcg,1018,00173071120,4400201000,Fluticasone 110mcg,1019,1,Asthma,N,2021-10-24,2025-10-29
9000056,FRM0002,00085113101,4400001000,Albuterol 90mcg,1018,00006071754,4400501000,Montelukast 10mg,1020,2,Asthma,N,2022-03-29,2026-11-25
9000057,FRM0003,00173071120,4400201000,Fluticasone 110mcg,1019,00085113101,4400001000,Albuterol 90mcg,1018,1,Asthma,Y,2022-05-06,2025-03-24
9000058,FRM0005,00173071120,4400201000,Fluticasone 110mcg,1019,00006071754,4400501000,Montelukast 10mg,1020,2,Asthma,Y,2022-11-26,2025-08-28
9000059,FRM0010,00006071754,4400501000,Montelukast 10mg,1020,00085113101,4400001000,Albuterol 90mcg,1018,1,Asthma,Y,2021-01-26,2027-04-03
9000060,FRM0006,00006071754,4400501000,Montelukast 10mg,1020,00173071120,4400201000,Fluticasone 110mcg,1019,2,Asthma,N,2021-08-14,2027-07-03
9000061,FRM0001,00056016985,8320001000,Warfarin 5mg,1021,59148001401,8320201000,Apixaban 5mg,1022,1,Anticoag,N,2021-04-05,2026-10-31
9000062,FRM0010,00056016985,8320001000,Warfarin 5mg,1021,50458057890,8320201100,Rivaroxaban 20mg,1023,2,Anticoag,N,2022-09-15,2026-02-04
9000063,FRM0005,59148001401,8320201000,Apixaban 5mg,1022,00056016985,8320001000,Warfarin 5mg,1021,1,Anticoag,Y,2022-06-24,2026-03-31
9000064,FRM0002,59148001401,8320201000,Apixaban 5mg,1022,50458057890,8320201100,Rivaroxaban 20mg,1023,2,Anticoag,Y,2021-07-20,2025-02-16
9000065,FRM0002,50458057890,8320201100,Rivaroxaban 20mg,1023,00056016985,8320001000,Warfarin 5mg,1021,1,Anticoag,Y,2022-07-06,2027-07-02
9000066,FRM0004,50458057890,8320201100,Rivaroxaban 20mg,1023,59148001401,8320201000,Apixaban 5mg,1022,2,Anticoag,N,2022-06-09,2027-03-19
9000067,FRM0010,00078036315,8380001000,Clopidogrel 75mg,1024,00280025150,8380001100,Aspirin 81mg,1025,1,Antiplatelet,Y,2022-05-18,2026-10-13
9000068,FRM0001,00280025150,8380001100,Aspirin 81mg,1025,00078036315,8380001000,Clopidogrel 75mg,1024,1,Antiplatelet,N,2022-09-12,2027-11-14
9000069,FRM0007,00781534105,7210001000,Gabapentin 300mg,1026,00071010568,7210001100,Pregabalin 75mg,1027,1,Neuropathic,N,2022-11-14,2027-01-10
9000070,FRM0006,00071010568,7210001100,Pregabalin 75mg,1027,00781534105,7210001000,Gabapentin 300mg,1026,1,Neuropathic,Y,2021-06-01,2027-05-26
9000071,FRM0001,00025153531,7420101000,Celecoxib 200mg,1028,00093278001,7420001000,Naproxen 500mg,1029,1,NSAID_COX,Y,2022-01-31,2027-02-03
9000072,FRM0006,00093278001,7420001000,Naproxen 500mg,1029,00025153531,7420101000,Celecoxib 200mg,1028,1,NSAID_COX,N,2021-10-19,2026-12-08
9000073,FRM0009,00116288001,2220101000,Furosemide 40mg,1031,00025102831,2220201000,Spironolactone 25mg,1032,1,HF_diuretic,N,2021-11-12,2027-07-02
9000074,FRM0008,00116288001,2220101000,Furosemide 40mg,1031,00007479120,2210301000,Carvedilol 12.5mg,1033,2,HF_diuretic,N,2021-03-31,2026-03-18
9000075,FRM0005,00116288001,2220101000,Furosemide 40mg,1031,00078065715,2210401000,Sacubitril-Valsartan 24-26mg,1034,3,HF_diuretic,N,2022-03-02,2027-06-26
9000076,FRM0007,00025102831,2220201000,Spironolactone 25mg,1032,00116288001,2220101000,Furosemide 40mg,1031,1,HF_diuretic,Y,2021-06-17,2027-05-19
9000077,FRM0003,00025102831,2220201000,Spironolactone 25mg,1032,00007479120,2210301000,Carvedilol 12.5mg,1033,2,HF_diuretic,N,2021-05-23,2025-06-26
9000078,FRM0008,00025102831,2220201000,Spironolactone 25mg,1032,00078065715,2210401000,Sacubitril-Valsartan 24-26mg,1034,3,HF_diuretic,N,2021-08-01,2026-09-14
9000079,FRM0002,00007479120,2210301000,Carvedilol 12.5mg,1033,00116288001,2220101000,Furosemide 40mg,1031,1,HF_diuretic,Y,2022-06-22,2026-11-18
9000080,FRM0002,00007479120,2210301000,Carvedilol 12.5mg,1033,00025102831,2220201000,Spironolactone 25mg,1032,2,HF_diuretic,Y,2022-08-28,2027-02-09
9000081,FRM0005,00007479120,2210301000,Carvedilol 12.5mg,1033,00078065715,2210401000,Sacubitril-Valsartan 24-26mg,1034,3,HF_diuretic,N,2021-01-07,2027-04-19
9000082,FRM0009,00078065715,2210401000,Sacubitril-Valsartan 24-26mg,1034,00116288001,2220101000,Furosemide 40mg,1031,1,HF_diuretic,Y,2022-03-01,2025-12-25
9000083,FRM0004,00078065715,2210401000,Sacubitril-Valsartan 24-26mg,1034,00025102831,2220201000,Spironolactone 25mg,1032,2,HF_diuretic,Y,2022-04-19,2025-10-08
9000084,FRM0005,00078065715,2210401000,Sacubitril-Valsartan 24-26mg,1034,00007479120,2210301000,Carvedilol 12.5mg,1033,3,HF_diuretic,Y,2021-07-10,2027-02-21
9000085,FRM0001,00781261801,0112001000,Amoxicillin 500mg,1035,00069307120,0116001000,Azithromycin 250mg,1036,1,Antibiotic,N,2022-07-22,2027-10-02
9000086,FRM0008,00781261801,0112001000,Amoxicillin 500mg,1035,00641024625,0112401000,Doxycycline 100mg,1037,2,Antibiotic,N,2021-11-06,2026-09-15
9000087,FRM0004,00069307120,0116001000,Azithromycin 250mg,1036,00781261801,0112001000,Amoxicillin 500mg,1035,1,Antibiotic,Y,2022-07-27,2027-08-08
9000088,FRM0003,00069307120,0116001000,Azithromycin 250mg,1036,00641024625,0112401000,Doxycycline 100mg,1037,2,Antibiotic,Y,2021-01-28,2025-01-06
9000089,FRM0008,00641024625,0112401000,Doxycycline 100mg,1037,00781261801,0112001000,Amoxicillin 500mg,1035,1,Antibiotic,Y,2021-09-26,2026-09-07
9000090,FRM0007,00641024625,0112401000,Doxycycline 100mg,1037,00069307120,0116001000,Azithromycin 250mg,1036,2,Antibiotic,N,2021-05-08,2026-08-13
9000091,FRM0004,00088110947,2240001000,Tamsulosin 0.4mg,1046,00006046254,2240101000,Finasteride 5mg,1047,1,BPH,N,2021-07-03,2027-10-05
9000092,FRM0005,00006046254,2240101000,Finasteride 5mg,1047,00088110947,2240001000,Tamsulosin 0.4mg,1046,1,BPH,Y,2021-01-30,2025-09-02
9000093,FRM0010,00378016301,4400101000,Allopurinol 300mg,1048,64764010030,4400201100,Colchicine 0.6mg,1049,1,Gout,N,2022-05-20,2025-05-17
9000094,FRM0010,64764010030,4400201100,Colchicine 0.6mg,1049,00378016301,4400101000,Allopurinol 300mg,1048,1,Gout,Y,2022-01-06,2027-09-12
9000095,FRM0006,00069307120,0116001000,Azithromycin 250mg,1036,00641024625,0112401000,Doxycycline 100mg,1037,1,Antibiotic,Y,2022-12-12,2025-09-02
9000096,FRM0008,00056016985,8320001000,Warfarin 5mg,1021,59148001401,8320201000,Apixaban 5mg,1022,2,Anticoag,N,2021-05-30,2026-10-17
9000097,FRM0007,00025153531,7420101000,Celecoxib 200mg,1028,00093278001,7420001000,Naproxen 500mg,1029,3,NSAID_COX,Y,2021-10-07,2027-01-10
9000098,FRM0009,00310075030,3940001100,Rosuvastatin 10mg,1005,00071015820,3940001000,Atorvastatin 20mg,1004,2,Statin,Y,2022-06-27,2025-06-07
9000099,FRM0006,00049493066,6010001000,Sertraline 50mg,1013,00002322230,6010101000,Duloxetine 30mg,1015,3,SSRI_SNRI,N,2022-07-11,2026-10-23
9000100,FRM0010,50458057890,8320201100,Rivaroxaban 20mg,1023,59148001401,8320201000,Apixaban 5mg,1022,3,Anticoag,N,2021-04-09,2027-12-31
9000101,FRM0006,00093312805,4920001000,Omeprazole 20mg,1011,00093315305,4920001100,Pantoprazole 40mg,1012,4,PPI,N,2022-06-15,2026-07-31
9000102,FRM0003,00069307120,0116001000,Azithromycin 250mg,1036,00781261801,0112001000,Amoxicillin 500mg,1035,2,Antibiotic,Y,2021-04-15,2026-03-23
9000103,FRM0002,00006028258,3302001000,Alendronate 70mg,1016,00149047601,3302001100,Risedronate 35mg,1017,2,Bisphosphonate,N,2022-04-17,2025-06-06
9000104,FRM0003,00093084101,2220001000,Hydrochlorothiazide 25mg,1030,00069153041,2230001000,Amlodipine 5mg,1002,4,ACE_BB_CCB,N,2021-11-16,2027-01-13
9000105,FRM0004,00781534105,7210001000,Gabapentin 300mg,1026,00071010568,7210001100,Pregabalin 75mg,1027,2,Neuropathic,N,2021-01-30,2025-08-31
9000106,FRM0003,00093312805,4920001000,Omeprazole 20mg,1011,00093315305,4920001100,Pantoprazole 40mg,1012,1,PPI,N,2021-05-09,2026-03-06
9000107,FRM0008,00641024625,0112401000,Doxycycline 100mg,1037,00781261801,0112001000,Amoxicillin 500mg,1035,4,Antibiotic,Y,2021-03-21,2025-02-08
9000108,FRM0010,00071015820,3940001000,Atorvastatin 20mg,1004,00310075030,3940001100,Rosuvastatin 10mg,1005,1,Statin,N,2021-02-03,2027-11-18
9000109,FRM0005,00378016301,4400101000,Allopurinol 300mg,1048,64764010030,4400201100,Colchicine 0.6mg,1049,1,Gout,N,2021-02-14,2025-05-16
9000110,FRM0001,00006028258,3302001000,Alendronate 70mg,1016,00149047601,3302001100,Risedronate 35mg,1017,1,Bisphosphonate,N,2022-11-18,2026-12-21
9000111,FRM0009,00093315305,4920001100,Pantoprazole 40mg,1012,00093312805,4920001000,Omeprazole 20mg,1011,2,PPI,Y,2021-12-27,2025-11-25
9000112,FRM0004,00093107601,2710001000,Metformin 500mg,1006,50458060010,2710501100,Canagliflozin 100mg,1039,2,Diabetes_oral,N,2021-01-15,2027-12-20
9000113,FRM0009,00078036315,8380001000,Clopidogrel 75mg,1024,00280025150,8380001100,Aspirin 81mg,1025,4,Antiplatelet,Y,2021-04-12,2026-03-15
9000114,FRM0003,00025153531,7420101000,Celecoxib 200mg,1028,00093278001,7420001000,Naproxen 500mg,1029,3,NSAID_COX,Y,2022-11-21,2025-08-08
9000115,FRM0007,00078065715,2210401000,Sacubitril-Valsartan 24-26mg,1034,00116288001,2220101000,Furosemide 40mg,1031,1,HF_diuretic,Y,2022-06-11,2026-04-12
9000116,FRM0003,00781534105,7210001000,Gabapentin 300mg,1026,00071010568,7210001100,Pregabalin 75mg,1027,4,Neuropathic,N,2021-04-23,2027-12-01
9000117,FRM0008,00093278001,7420001000,Naproxen 500mg,1029,00025153531,7420101000,Celecoxib 200mg,1028,1,NSAID_COX,N,2021-03-26,2026-11-03
9000118,FRM0008,00007479120,2210301000,Carvedilol 12.5mg,1033,00025102831,2220201000,Spironolactone 25mg,1032,2,HF_diuretic,Y,2022-09-07,2026-10-01
9000119,FRM0008,00069307120,0116001000,Azithromycin 250mg,1036,00641024625,0112401000,Doxycycline 100mg,1037,3,Antibiotic,Y,2021-07-13,2025-05-23
9000120,FRM0007,00049493066,6010001000,Sertraline 50mg,1013,00173017400,6010201000,Bupropion 150mg,1042,4,SSRI_SNRI,N,2022-11-20,2025-08-04
9000121,FRM0010,00093107601,2710001000,Metformin 500mg,1006,00006043254,2710401000,Sitagliptin 100mg,1008,1,Diabetes_oral,N,2022-02-09,2027-04-01
9000122,FRM0004,00049493066,6010001000,Sertraline 50mg,1013,00008443901,6010101100,Venlafaxine 75mg,1041,4,SSRI_SNRI,N,2021-07-23,2026-11-25
9000123,FRM0007,00173071120,4400201000,Fluticasone 110mcg,1019,00006071754,4400501000,Montelukast 10mg,1020,3,Asthma,Y,2021-10-13,2026-07-14
9000124,FRM0003,64764010030,4400201100,Colchicine 0.6mg,1049,00378016301,4400101000,Allopurinol 300mg,1048,4,Gout,Y,2022-06-08,2026-07-26
9000125,FRM0001,59148001401,8320201000,Apixaban 5mg,1022,50458057890,8320201100,Rivaroxaban 20mg,1023,1,Anticoag,Y,2021-08-25,2025-10-03
9000126,FRM0003,00071015820,3940001000,Atorvastatin 20mg,1004,00310075030,3940001100,Rosuvastatin 10mg,1005,4,Statin,N,2022-11-26,2025-02-24
9000127,FRM0002,00781534105,7210001000,Gabapentin 300mg,1026,00071010568,7210001100,Pregabalin 75mg,1027,4,Neuropathic,N,2022-09-29,2025-07-17
9000128,FRM0008,00088110947,2240001000,Tamsulosin 0.4mg,1046,00006046254,2240101000,Finasteride 5mg,1047,3,BPH,N,2022-11-09,2027-10-17
9000129,FRM0007,00781534105,7210001000,Gabapentin 300mg,1026,00071010568,7210001100,Pregabalin 75mg,1027,4,Neuropathic,N,2022-03-17,2025-09-01
9000130,FRM0001,00071010568,7210001100,Pregabalin 75mg,1027,00781534105,7210001000,Gabapentin 300mg,1026,2,Neuropathic,Y,2022-04-16,2025-03-15
9000131,FRM0005,00078036315,8380001000,Clopidogrel 75mg,1024,00280025150,8380001100,Aspirin 81mg,1025,4,Antiplatelet,Y,2022-03-18,2025-10-03
9000132,FRM0008,00378016301,4400101000,Allopurinol 300mg,1048,64764010030,4400201100,Colchicine 0.6mg,1049,2,Gout,N,2022-11-07,2027-08-21
9000133,FRM0010,00310075030,3940001100,Rosuvastatin 10mg,1005,00071015820,3940001000,Atorvastatin 20mg,1004,3,Statin,Y,2022-05-22,2027-02-13
9000134,FRM0003,00280025150,8380001100,Aspirin 81mg,1025,00078036315,8380001000,Clopidogrel 75mg,1024,3,Antiplatelet,N,2021-01-29,2025-04-03
9000135,FRM0007,00025153531,7420101000,Celecoxib 200mg,1028,00093278001,7420001000,Naproxen 500mg,1029,3,NSAID_COX,Y,2022-01-25,2025-07-19
9000136,FRM0004,00093278001,7420001000,Naproxen 500mg,1029,00025153531,7420101000,Celecoxib 200mg,1028,2,NSAID_COX,N,2021-02-27,2026-05-16
9000137,FRM0006,00078036315,8380001000,Clopidogrel 75mg,1024,00280025150,8380001100,Aspirin 81mg,1025,2,Antiplatelet,Y,2021-11-09,2025-08-23
9000138,FRM0010,00378526001,2210201000,Metoprolol 25mg,1003,00071015623,2210001000,Lisinopril 10mg,1001,4,ACE_BB_CCB,Y,2022-04-17,2027-05-16
9000139,FRM0006,00056016985,8320001000,Warfarin 5mg,1021,50458057890,8320201100,Rivaroxaban 20mg,1023,4,Anticoag,N,2022-08-26,2025-02-15
9000140,FRM0002,00007479120,2210301000,Carvedilol 12.5mg,1033,00078065715,2210401000,Sacubitril-Valsartan 24-26mg,1034,2,HF_diuretic,N,2021-04-11,2027-09-28
9000141,FRM0006,00071010568,7210001100,Pregabalin 75mg,1027,00781534105,7210001000,Gabapentin 300mg,1026,4,Neuropathic,Y,2021-06-20,2026-09-06
9000142,FRM0005,00149047601,3302001100,Risedronate 35mg,1017,00006028258,3302001000,Alendronate 70mg,1016,3,Bisphosphonate,Y,2022-07-03,2026-03-15
9000143,FRM0010,00310075030,3940001100,Rosuvastatin 10mg,1005,00071015820,3940001000,Atorvastatin 20mg,1004,1,Statin,Y,2021-08-20,2025-07-08
9000144,FRM0008,00071010568,7210001100,Pregabalin 75mg,1027,00781534105,7210001000,Gabapentin 300mg,1026,4,Neuropathic,Y,2022-08-04,2027-12-24
9000145,FRM0009,00149047601,3302001100,Risedronate 35mg,1017,00006028258,3302001000,Alendronate 70mg,1016,3,Bisphosphonate,Y,2022-10-30,2026-09-11
9000146,FRM0007,00641024625,0112401000,Doxycycline 100mg,1037,00069307120,0116001000,Azithromycin 250mg,1036,3,Antibiotic,N,2021-07-24,2027-04-29
9000147,FRM0003,00088110947,2240001000,Tamsulosin 0.4mg,1046,00006046254,2240101000,Finasteride 5mg,1047,4,BPH,N,2022-10-05,2027-11-24
9000148,FRM0010,00149047601,3302001100,Risedronate 35mg,1017,00006028258,3302001000,Alendronate 70mg,1016,4,Bisphosphonate,Y,2022-10-16,2027-12-28
9000149,FRM0004,00071015820,3940001000,Atorvastatin 20mg,1004,00310075030,3940001100,Rosuvastatin 10mg,1005,2,Statin,N,2022-04-19,2025-10-30
9000150,FRM0004,00280025150,8380001100,Aspirin 81mg,1025,00078036315,8380001000,Clopidogrel 75mg,1024,4,Antiplatelet,N,2021-11-23,2025-05-12
9000151,FRM0007,59148001401,8320201000,Apixaban 5mg,1022,00056016985,8320001000,Warfarin 5mg,1021,2,Anticoag,Y,2021-09-20,2026-04-29
9000152,FRM0008,00093312805,4920001000,Omeprazole 20mg,1011,00093315305,4920001100,Pantoprazole 40mg,1012,4,PPI,N,2021-09-09,2026-09-28
9000153,FRM0005,00069307120,0116001000,Azithromycin 250mg,1036,00781261801,0112001000,Amoxicillin 500mg,1035,2,Antibiotic,Y,2021-07-26,2025-11-23
9000154,FRM0001,00378526001,2210201000,Metoprolol 25mg,1003,00069153041,2230001000,Amlodipine 5mg,1002,4,ACE_BB_CCB,N,2022-11-06,2025-12-27
9000155,FRM0002,00071015623,2210001000,Lisinopril 10mg,1001,00069153041,2230001000,Amlodipine 5mg,1002,4,ACE_BB_CCB,N,2021-11-18,2026-09-03
9000156,FRM0002,00025153531,7420101000,Celecoxib 200mg,1028,00093278001,7420001000,Naproxen 500mg,1029,1,NSAID_COX,Y,2021-05-24,2026-04-29
9000157,FRM0006,59148001401,8320201000,Apixaban 5mg,1022,00056016985,8320001000,Warfarin 5mg,1021,3,Anticoag,Y,2021-09-01,2025-09-08
9000158,FRM0002,00025102831,2220201000,Spironolactone 25mg,1032,00007479120,2210301000,Carvedilol 12.5mg,1033,2,HF_diuretic,N,2021-08-12,2025-10-23
9000159,FRM0010,00149047601,3302001100,Risedronate 35mg,1017,00006028258,3302001000,Alendronate 70mg,1016,1,Bisphosphonate,Y,2022-02-23,2026-06-05
9000160,FRM0008,64764010030,4400201100,Colchicine 0.6mg,1049,00378016301,4400101000,Allopurinol 300mg,1048,2,Gout,Y,2021-11-21,2027-05-18
