PROD_SK,PROD_ID,PIG_GNRC_NM,PIG_STRNGTH,PIG_STRNGTH_UOM_CD,PIG_ING_TYPE_CD,PIG_SEQ_NBR
1043,PROD1043,quetiapine,10.0,MCG,ACTIVE,1
1043,PROD1043,microcrystalline cellulose,184.9,MEQ,INACTIVE,2
1044,PROD1044,lithium carbonate,10.0,MEQ,ACTIVE,1
1045,PROD1045,zolpidem,10.0,MCG,ACTIVE,1
1045,PROD1045,microcrystalline cellulose,430.7,MG,INACTIVE,2
1046,PROD1046,tamsulosin,10.0,MEQ,ACTIVE,1
1047,PROD1047,finasteride,10.0,MCG,ACTIVE,1
1048,PROD1048,allopurinol,10.0,IU,ACTIVE,1
1048,PROD1048,povidone,217.9,ML,INACTIVE,2
1049,PROD1049,colchicine,10.0,ML,ACTIVE,1
1050,PROD1050,tiotropium,10.0,MCG,ACTIVE,1
1027,PROD1027,povidone,2.96,MG,INACTIVE,3
1009,PROD1009,magnesium stearate,0.81,MG,INACTIVE,2
1010,PROD1010,silicon dioxide,6.61,MG,INACTIVE,3
1006,PROD1006,povidone,6.46,MG,INACTIVE,5
1030,PROD1030,hydroxypropyl cellulose,9.31,MG,INACTIVE,3
1030,PROD1030,hydroxypropyl cellulose,4.3,MG,INACTIVE,5
1025,PROD1025,stearic acid,2.33,MG,INACTIVE,5
1039,PROD1039,magnesium stearate,5.82,MG,INACTIVE,3
1046,PROD1046,hydroxypropyl cellulose,2.77,MG,INACTIVE,4
1003,PROD1003,magnesium stearate,5.72,MG,INACTIVE,4
1008,PROD1008,hydroxypropyl cellulose,4.87,MG,INACTIVE,2
1010,PROD1010,hydroxypropyl cellulose,9.84,MG,INACTIVE,4
1030,PROD1030,hydroxypropyl cellulose,0.87,MG,INACTIVE,2
1016,PROD1016,silicon dioxide,6.34,MG,INACTIVE,2
1044,PROD1044,hydroxypropyl cellulose,8.0,MG,INACTIVE,4
1040,PROD1040,magnesium stearate,9.05,MG,INACTIVE,2
1031,PROD1031,silicon dioxide,5.18,MG,INACTIVE,5
1037,PROD1037,stearic acid,4.27,MG,INACTIVE,4
1019,PROD1019,povidone,0.45,MG,INACTIVE,4
1047,PROD1047,hydroxypropyl cellulose,2.68,MG,INACTIVE,5
1038,PROD1038,povidone,5.77,MG,INACTIVE,4
1048,PROD1048,hydroxypropyl cellulose,0.37,MG,INACTIVE,5
1006,PROD1006,povidone,5.11,MG,INACTIVE,4
1017,PROD1017,povidone,6.2,MG,INACTIVE,4
1017,PROD1017,magnesium stearate,7.44,MG,INACTIVE,3
1038,PROD1038,povidone,6.63,MG,INACTIVE,4
1012,PROD1012,stearic acid,7.85,MG,INACTIVE,3
1032,PROD1032,povidone,8.01,MG,INACTIVE,2
1022,PROD1022,magnesium stearate,9.68,MG,INACTIVE,3
1032,PROD1032,silicon dioxide,7.73,MG,INACTIVE,3
1043,PROD1043,silicon dioxide,7.29,MG,INACTIVE,3
1014,PROD1014,hydroxypropyl cellulose,7.37,MG,INACTIVE,4
1004,PROD1004,stearic acid,7.58,MG,INACTIVE,2
1004,PROD1004,povidone,4.69,MG,INACTIVE,5
1020,PROD1020,silicon dioxide,7.49,MG,INACTIVE,3
1025,PROD1025,silicon dioxide,4.8,MG,INACTIVE,3
1034,PROD1034,silicon dioxide,0.22,MG,INACTIVE,5
1025,PROD1025,stearic acid,9.62,MG,INACTIVE,2
1007,PROD1007,hydroxypropyl cellulose,6.41,MG,INACTIVE,5
1040,PROD1040,stearic acid,3.42,MG,INACTIVE,4
1007,PROD1007,stearic acid,6.58,MG,INACTIVE,5
1030,PROD1030,povidone,7.37,MG,INACTIVE,3
1034,PROD1034,stearic acid,6.81,MG,INACTIVE,3
1021,PROD1021,hydroxypropyl cellulose,0.2,MG,INACTIVE,2
1005,PROD1005,magnesium stearate,4.17,MG,INACTIVE,2
1044,PROD1044,silicon dioxide,3.58,MG,INACTIVE,4
1017,PROD1017,povidone,0.44,MG,INACTIVE,2
1004,PROD1004,hydroxypropyl cellulose,6.6,MG,INACTIVE,3
1039,PROD1039,magnesium stearate,7.11,MG,INACTIVE,2
1006,PROD1006,hydroxypropyl cellulose,1.39,MG,INACTIVE,3
1008,PROD1008,povidone,2.61,MG,INACTIVE,5
1043,PROD1043,magnesium stearate,6.42,MG,INACTIVE,4
1050,PROD1050,silicon dioxide,6.95,MG,INACTIVE,4
1017,PROD1017,povidone,7.83,MG,INACTIVE,4
1050,PROD1050,magnesium stearate,3.89,MG,INACTIVE,4
1004,PROD1004,stearic acid,9.56,MG,INACTIVE,4
1012,PROD1012,silicon dioxide,0.79,MG,INACTIVE,3
1040,PROD1040,silicon dioxide,1.87,MG,INACTIVE,5
1007,PROD1007,povidone,5.45,MG,INACTIVE,5
1014,PROD1014,hydroxypropyl cellulose,6.47,MG,INACTIVE,5
1046,PROD1046,stearic acid,1.12,MG,INACTIVE,2
1005,PROD1005,hydroxypropyl cellulose,7.3,MG,INACTIVE,5
1002,PROD1002,silicon dioxide,1.57,MG,INACTIVE,2
1003,PROD1003,silicon dioxide,2.74,MG,INACTIVE,4
1026,PROD1026,hydroxypropyl cellulose,0.14,MG,INACTIVE,5
1031,PROD1031,silicon dioxide,4.1,MG,INACTIVE,2
1035,PROD1035,povidone,0.13,MG,INACTIVE,5
1008,PROD1008,hydroxypropyl cellulose,5.4,MG,INACTIVE,4
1022,PROD1022,stearic acid,4.07,MG,INACTIVE,2
1024,PROD1024,hydroxypropyl cellulose,8.55,MG,INACTIVE,4
1006,PROD1006,silicon dioxide,7.63,MG,INACTIVE,4
1042,PROD1042,povidone,1.85,MG,INACTIVE,2
1025,PROD1025,povidone,3.06,MG,INACTIVE,5
1007,PROD1007,stearic acid,4.92,MG,INACTIVE,5
1048,PROD1048,povidone,1.49,MG,INACTIVE,3
1002,PROD1002,hydroxypropyl cellulose,2.46,MG,INACTIVE,5
1005,PROD1005,hydroxypropyl cellulose,6.47,MG,INACTIVE,5
1035,PROD1035,silicon dioxide,9.67,MG,INACTIVE,2
1003,PROD1003,stearic acid,0.65,MG,INACTIVE,2
1026,PROD1026,magnesium stearate,2.2,MG,INACTIVE,5
1044,PROD1044,hydroxypropyl cellulose,1.57,MG,INACTIVE,3
1005,PROD1005,magnesium stearate,7.38,MG,INACTIVE,5
1042,PROD1042,magnesium stearate,4.77,MG,INACTIVE,2
1016,PROD1016,povidone,0.24,MG,INACTIVE,2
1020,PROD1020,magnesium stearate,4.62,MG,INACTIVE,3
1038,PROD1038,magnesium stearate,8.2,MG,INACTIVE,2
1008,PROD1008,silicon dioxide,5.99,MG,INACTIVE,3
1005,PROD1005,povidone,4.32,MG,INACTIVE,5
1021,PROD1021,magnesium stearate,9.76,MG,INACTIVE,3
1021,PROD1021,povidone,7.67,MG,INACTIVE,3
1022,PROD1022,magnesium stearate,1.3,MG,INACTIVE,3
1049,PROD1049,silicon dioxide,1.76,MG,INACTIVE,4
1036,PROD1036,povidone,4.44,MG,INACTIVE,2
1009,PROD1009,magnesium stearate,7.93,MG,INACTIVE,5
1050,PROD1050,povidone,0.25,MG,INACTIVE,5
1006,PROD1006,magnesium stearate,0.17,MG,INACTIVE,2
1046,PROD1046,hydroxypropyl cellulose,8.88,MG,INACTIVE,5
1045,PROD1045,silicon dioxide,6.95,MG,INACTIVE,3
1010,PROD1010,stearic acid,5.28,MG,INACTIVE,5
1016,PROD1016,povidone,6.14,MG,INACTIVE,2
1039,PROD1039,povidone,7.2,MG,INACTIVE,2
1041,PROD1041,stearic acid,3.54,MG,INACTIVE,2
1036,PROD1036,povidone,2.0,MG,INACTIVE,2
1040,PROD1040,stearic acid,8.64,MG,INACTIVE,3
1030,PROD1030,povidone,2.84,MG,INACTIVE,3
1008,PROD1008,povidone,6.88,MG,INACTIVE,5
1032,PROD1032,povidone,1.68,MG,INACTIVE,2
1004,PROD1004,stearic acid,2.92,MG,INACTIVE,5
1017,PROD1017,stearic acid,6.21,MG,INACTIVE,5
1003,PROD1003,magnesium stearate,7.43,MG,INACTIVE,3
1011,PROD1011,magnesium stearate,4.9,MG,INACTIVE,2
1005,PROD1005,povidone,7.24,MG,INACTIVE,4
1027,PROD1027,povidone,7.5,MG,INACTIVE,4
1015,PROD1015,magnesium stearate,3.33,MG,INACTIVE,2
1016,PROD1016,silicon dioxide,8.71,MG,INACTIVE,5
1015,PROD1015,magnesium stearate,4.76,MG,INACTIVE,5
1004,PROD1004,silicon dioxide,1.53,MG,INACTIVE,5
1012,PROD1012,silicon dioxide,3.8,MG,INACTIVE,5
1047,PROD1047,povidone,6.36,MG,INACTIVE,4
1013,PROD1013,stearic acid,1.36,MG,INACTIVE,2
1018,PROD1018,povidone,1.2,MG,INACTIVE,5
1030,PROD1030,silicon dioxide,1.79,MG,INACTIVE,4
1015,PROD1015,stearic acid,6.08,MG,INACTIVE,3
1037,PROD1037,hydroxypropyl cellulose,8.56,MG,INACTIVE,2
1027,PROD1027,hydroxypropyl cellulose,4.94,MG,INACTIVE,3
1038,PROD1038,silicon dioxide,8.39,MG,INACTIVE,4
1001,PROD1001,silicon dioxide,7.39,MG,INACTIVE,3
1016,PROD1016,stearic acid,4.4,MG,INACTIVE,3
1038,PROD1038,povidone,9.15,MG,INACTIVE,2
1027,PROD1027,magnesium stearate,0.5,MG,INACTIVE,5
1047,PROD1047,hydroxypropyl cellulose,0.43,MG,INACTIVE,5
1031,PROD1031,magnesium stearate,4.58,MG,INACTIVE,3
1006,PROD1006,hydroxypropyl cellulose,7.56,MG,INACTIVE,5
1014,PROD1014,povidone,3.65,MG,INACTIVE,3
1042,PROD1042,magnesium stearate,0.26,MG,INACTIVE,4
1011,PROD1011,silicon dioxide,8.59,MG,INACTIVE,2
1030,PROD1030,silicon dioxide,7.74,MG,INACTIVE,5
1012,PROD1012,stearic acid,6.31,MG,INACTIVE,2
1041,PROD1041,magnesium stearate,3.91,MG,INACTIVE,4
